Group ID,Group Name,Color Name,Color
0,Terminals,White,#ffffff
1,School,Red,#540000
2,Food,Navy,#070094
3,Emergency,Yellow,#dbdb00
4,High Street,Green,#04bf13
5,Roads,Aqua,#00b3d6
6,Statues,Pink,#fa57dc
7,Utilities,Grey,#b2bfbf
8,Fitness,Purple,#7408cc
9,Pubs,Orange,#f76a05
