X,Y,Place,LabelX,LabelY
0.17602029831945895,-0.8340340914346781,M,0.1854521879791582,-0.7034890406300705
0.9307512076419823,-0.130667486733741,1,1.0511315037246507,-0.02066497519729782
1.6580783158590173,-0.2772250681923374,2,1.7888811483990597,-0.28884032272578364
-0.18437105373197665,0.7879729426246425,3,-0.230751340967291,0.9221379242411962
1.9396587883003693,-0.03787667633041075,4,2.080884157297786,-0.056740671887890004
0.4055663419707596,-0.06391884215764851,5,0.37898887400445513,0.04608366937879449
2.617888607700157,0.805631427364248,6,2.8622970876255764,0.7134746058971002
0.25915134012255303,0.8830022529099778,7,0.2544611987167342,1.0091130778331614
-1.2489702301853858,0.029021676836251925,9,-1.0139420330716038,-0.030113102188078278
-0.5244804562139265,0.7265710334361145,10,-0.38846635544519703,0.8526818583592979
1.4880806464621743,1.237505067054499,12,1.655362356603025,1.3474665822152985
1.3904064844053887,0.2643136787839862,13,1.5576881945462406,0.37431619032042907
2.832777467409501,0.8844708228963195,14,2.9739554612412014,0.9944733344327625
0.5787150207559024,1.1091549018351095,15,0.5688136111213971,1.2191574133715521
-0.0946670918926557,-1.036468622181775,16,-0.0003431369534223627,-0.9264661106453318
0.4306247084863139,-0.8295000598258694,17,0.5948051137558452,-0.853526869438741
0.4626338310054694,-0.7248394968631285,19,0.8175211973790515,-0.7445089080899452
0.03901555075305508,-0.8295998655532539,21,-0.0016839482787669446,-0.7159774232048648
0.3649881848707507,-0.8419116149052948,27,0.48325851759605154,-1.0263609183068292
0.1583047817359176,-0.9794652939716721,34,0.2526287366751512,-0.9500043493689305
-1.8376386673561853,-0.3315478997278049,37,-1.5348639832694728,-0.30208695512506334
0.8529740302067914,0.30057167369123017,38,1.0202557403476429,0.4105741852276732
-0.3277847547827307,-1.409342819117273,39,-0.1396579717271318,-1.4290122303440893
-0.949510274608612,-1.0460285850541955,40,-0.7822285644677609,-0.9360260735177526
-1.5237425262334667,-1.3338896893306083,41,-1.2939255973483716,-1.3938298840242753
