highway,name,polygon,geometry
,Marquis of Granby,True,"POLYGON ((-0.270664 51.333143173660034, -0.270664 51.33323264777948, -0.2705873 51.3332404, -0.2705648 51.3331532, -0.270664 51.333143173660034))"
trunk,High Street,False,"LINESTRING (-0.2700304 51.3329373, -0.2698249 51.3329545, -0.2696985 51.3329706)"
trunk,High Street,False,"LINESTRING (-0.2682416 51.3332181, -0.2681089 51.3332164, -0.2679814 51.3332118, -0.2679091 51.3332092)"
trunk,High Street,False,"LINESTRING (-0.2688834 51.333178, -0.2688349 51.333184, -0.2686635 51.3332067, -0.2685565 51.3332203, -0.2682416 51.3332181)"
trunk,High Street,False,"LINESTRING (-0.2696985 51.3329706, -0.2695385 51.3329945, -0.269451 51.3330148, -0.2694094 51.3330282, -0.26935 51.3330472, -0.2692524 51.333078, -0.2691449 51.3331296, -0.2688834 51.333178)"
secondary,,False,"LINESTRING (-0.2704993 51.3329501, -0.2704433 51.3329049, -0.2704036 51.3328728, -0.2703472 51.3328218)"
trunk,South Street,False,"LINESTRING (-0.2704817 51.3326593, -0.2704156 51.3327366, -0.2703767 51.332785, -0.2703472 51.3328218)"
,Epsom Clock Tower,True,"POLYGON ((-0.268687 51.3331115, -0.2686752 51.3330808, -0.2684629 51.3331126, -0.2684747 51.3331433, -0.268687 51.3331115))"
service,,False,"LINESTRING (-0.2692524 51.333078, -0.2693259 51.3331507, -0.2693469 51.333177, -0.2694135 51.333402, -0.2693925 51.3334206, -0.26918 51.3334432)"
,,True,"POLYGON ((-0.2680169688899046 51.333513, -0.267762 51.333513, -0.267762 51.333288335068055, -0.2679155 51.333286, -0.2679193 51.3332978, -0.2679848 51.3333058, -0.2679483 51.3333761, -0.2680169688899046 51.333513))"
,Plaice To Eat,True,"POLYGON ((-0.2685722 51.3332959, -0.2685869 51.333402, -0.2686601 51.3333941, -0.2686434 51.3332922, -0.2685722 51.3332959))"
,GAIL's,True,"POLYGON ((-0.2679435 51.3331064, -0.267762 51.33312963668639, -0.267762 51.33303310261845, -0.2678978 51.3330149, -0.2679435 51.3331064))"
,NatWest,True,"POLYGON ((-0.2681379 51.3330722, -0.2680606 51.3329331, -0.2680115 51.3328447, -0.2679049 51.3328669, -0.2679238 51.3329083, -0.2678531 51.33292, -0.2679435 51.3331064, -0.2681379 51.3330722))"
,Nationwide,True,"POLYGON ((-0.2681428 51.3330791, -0.2680606 51.3329331, -0.2681663 51.3329093, -0.2681758 51.3329261, -0.268245 51.3330492, -0.2682491 51.3330565, -0.2681428 51.3330791))"
,,True,"POLYGON ((-0.2681758 51.3329261, -0.268245 51.3330492, -0.2683565 51.3330256, -0.2683481 51.3330114, -0.2683003 51.3329305, -0.2682854 51.3329053, -0.2681758 51.3329261))"
,,True,"POLYGON ((-0.268702 51.3329169, -0.2685576 51.3329555, -0.2685709 51.3329767, -0.2684877 51.3329991, -0.2684746 51.3329776, -0.2683481 51.3330114, -0.2683003 51.3329305, -0.2686798 51.3328321, -0.268702 51.3329169))"
,,True,"POLYGON ((-0.268956 51.332892, -0.2689506 51.3328802, -0.2688989 51.3327656, -0.2688825 51.3327656, -0.2688634 51.3327026, -0.2686534 51.3327323, -0.2686798 51.3328321, -0.268706 51.3329314, -0.268956 51.332892))"
,Caffè Nero,True,"POLYGON ((-0.2692262 51.3328342, -0.2691856 51.3326844, -0.2693842 51.3326608, -0.2694096 51.3328064, -0.2692262 51.3328342))"
,Leightons Opticians & Hearing Care,True,"POLYGON ((-0.2686978 51.3332856, -0.2687139 51.3333872, -0.2688102 51.3333834, -0.2688464 51.3333786, -0.2688215 51.333277, -0.2686978 51.3332856))"
,,True,"POLYGON ((-0.2687139 51.3333872, -0.2687194 51.3334691, -0.2688211 51.3334622, -0.2688102 51.3333834, -0.2687139 51.3333872))"
service,,False,"LINESTRING (-0.2704975700947244 51.333513, -0.2703955 51.3332251, -0.2702077 51.333249)"
secondary,West Street,False,"LINESTRING (-0.2704993 51.3329501, -0.2703737 51.3329405, -0.2703073 51.3329395, -0.2702433 51.3329386, -0.2701447 51.3329292)"
secondary,West Street,False,"LINESTRING (-0.270664 51.33297715771812, -0.2705611 51.3329569)"
,,True,"POLYGON ((-0.2693743 51.3333552, -0.2693159 51.3333618, -0.2692985 51.3333012, -0.2692846 51.3333027, -0.2692537 51.3331953, -0.269326 51.3331872, -0.2693743 51.3333552))"
footway,,False,"LINESTRING (-0.2703345 51.3329046, -0.2703083 51.3329147, -0.2703073 51.3329395, -0.2703056 51.332978, -0.2701233 51.3329893, -0.2698343 51.3330178, -0.2695506 51.3330597, -0.2693772 51.3331178)"
footway,,False,"LINESTRING (-0.2705839 51.3328343, -0.2705054 51.3328331, -0.2704465 51.3328322, -0.2704545 51.3328493, -0.2704036 51.3328728, -0.2703345 51.3329046, -0.2702668 51.332875, -0.2701937 51.3328431, -0.2701476 51.3328064)"
service,,False,"LINESTRING (-0.2688975 51.3333961, -0.2688349 51.333184)"
service,,False,"LINESTRING (-0.2691413773684227 51.333513, -0.2691375 51.3334991)"
service,,False,"LINESTRING (-0.2679648 51.3328007, -0.2678481 51.3329051, -0.2679489 51.3331371, -0.2679814 51.3332118)"
,,True,"POLYGON ((-0.270664 51.33275993336992, -0.270664 51.33292446170717, -0.2706516 51.3329243, -0.2706542 51.3328692, -0.270636 51.3327623, -0.270664 51.33275993336992))"
