Group ID,Group Name,Color Name,Color
0,Terminals,White,#ffffff
1,School,Red,#540000
2,Station,Navy,#070094
3,Run,Yellow,#dbdb00
4,Horton,Green,#04bf13
5,Cheam,Aqua,#00b3d6
6,Halls,Pink,#fa57dc
7,Landmarks,Grey,#b2bfbf
8,Other,Purple,#7408cc
9,Fluids,Orange,#f76a05
