Points,GroupFraction
10,0.0
14,0.0
19,0.0
23,0.0
25,0.0
36,0.2222222222222222
36,0.2222222222222222
36,0.2222222222222222
40,0.2
40,0.2
40,0.2
41,0.1951219512195122
44,0.18181818181818182
51,0.29411764705882354
54,0.2777777777777778
64,0.359375
66,0.3484848484848485
66,0.3484848484848485
66,0.3484848484848485
68,0.11764705882352941
74,0.10810810810810811
77,0.37662337662337664
86,0.43023255813953487
88,0.42045454545454547
97,0.41237113402061853
103,0.3883495145631068
107,0.37383177570093457
116,0.41379310344827586
122,0.39344262295081966
127,0.44881889763779526
136,0.41911764705882354
150,0.44666666666666666
156,0.42948717948717946
160,0.41875
174,0.4827586206896552
183,0.45901639344262296
189,0.4444444444444444
192,0.4791666666666667
207,0.48792270531400966
213,0.47417840375586856
217,0.46543778801843316
222,0.49099099099099097
228,0.4780701754385965
241,0.4896265560165975
245,0.4816326530612245
247,0.4777327935222672
254,0.49606299212598426
260,0.4846153846153846
262,0.48091603053435117
269,0.49070631970260226
271,0.4870848708487085
282,0.49645390070921985
284,0.49295774647887325
284,0.49295774647887325
286,0.48951048951048953
289,0.47750865051903113
291,0.4742268041237113
293,0.4709897610921502
300,0.49
312,0.4967948717948718
314,0.49363057324840764
314,0.49363057324840764
314,0.49363057324840764
314,0.49363057324840764
314,0.49363057324840764
314,0.49363057324840764
314,0.49363057324840764
314,0.49363057324840764
317,0.4794952681388013
322,0.5
327,0.4923547400611621
328,0.49085365853658536
338,0.5
338,0.5
338,0.5
338,0.5
338,0.5
338,0.5
338,0.5
338,0.5
