-0.135589 0.295880
-0.128203 0.285919
-0.128203 0.285919
-0.289378 0.246707
-0.289378 0.246707
-0.343216 0.317940
-0.415956 0.305355
-0.587092 0.297386
-0.587092 0.297386
-0.644574 0.287620
-0.644574 0.287620
-0.676255 0.282032
-0.676255 0.282032
-0.693505 0.298941
-0.729364 0.310457
-0.754972 0.309048
-0.754972 0.309048
-0.764155 0.326006
-0.764155 0.326006
-1.042530 0.275375
-1.042530 0.275375
-1.057253 0.302440
-1.057253 0.302440
-1.069400 0.326103
-1.057253 0.302440
-1.057253 0.302440
-1.042530 0.275375
-1.042530 0.275375
-1.032374 0.255842
-1.032374 0.255842
-1.366434 0.195589
-1.366434 0.195589
-1.362498 0.186309
-1.323140 0.092189
-1.323140 0.092189
-1.316240 0.075620
-1.260458 -0.034098
-1.253364 -0.104602
-1.244229 -0.161210
-1.244229 -0.161210
-1.192237 -0.154602
-1.244229 -0.161210
-1.244229 -0.161210
-1.327513 -0.172240
-1.327513 -0.172240
-1.351079 -0.175156
-1.478143 -0.198673
-1.530378 -0.223746
-1.530378 -0.223746
-1.577802 -0.238712
-1.577802 -0.238712
-1.606665 -0.247944
-1.626878 -0.254455
-1.669395 -0.264319
-1.747140 -0.275932
-1.808558 -0.283755
-1.908411 -0.292113
-1.963950 -0.296049
-1.963950 -0.296049
-1.998838 -0.309605
-2.023279 -0.322385
-2.023279 -0.322385
-2.062346 -0.348235
-2.062346 -0.348235
-2.076680 -0.366116
-2.076680 -0.366116
-2.095582 -0.389634
-2.122258 -0.428215
-2.122258 -0.428215
-2.212539 -0.570925
-2.212539 -0.570925
-2.256513 -0.650370
-2.267300 -0.718591
-2.262927 -0.791380
-2.226144 -0.931855
-2.226144 -0.931855
-2.198399 -0.985450
-2.198399 -0.985450
-2.145776 -1.069220
-2.132608 -1.087733
-2.113317 -1.114895
-2.113317 -1.114895
-2.031637 -1.097791
-1.980568 -1.083894
-1.812300 -1.038073
-1.674934 -1.001582
-1.597335 -0.989823
-1.597335 -0.989823
-1.580086 -1.041232
-1.580086 -1.041232
-1.463129 -1.028258
-1.463129 -1.028258
-1.438979 -1.025586
-1.340098 -1.014653
-1.121635 -0.987685
-1.093647 -0.984235
-0.857886 -0.942787
-0.715953 -0.910037
-0.604730 -0.872428
-0.604730 -0.872428
-0.537821 -0.853381
-0.494187 -0.845315
-0.494187 -0.845315
-0.428687 -0.820923
-0.428687 -0.820923
-0.414012 -0.813440
-0.414012 -0.813440
-0.388940 -0.798814
-0.374606 -0.777774
-0.355121 -0.727726
-0.355121 -0.727726
-0.355801 -0.691526
-0.355801 -0.691526
-0.256336 -0.695365
-0.253713 -0.673596
-0.287920 -0.633898
-0.307454 -0.626998
-0.357064 -0.623548
-0.357064 -0.623548
-0.357259 -0.612567
-0.357259 -0.612567
-0.359591 -0.484288
-0.391515 -0.309217
-0.391515 -0.309217
-0.334859 -0.312229
-0.091712 -0.350907
0.138607 -0.387642
0.138607 -0.387642
0.186420 -0.394784
0.186420 -0.394784
0.242250 -0.402122
0.242250 -0.402122
0.437729 -0.432734
0.631460 -0.480061
0.741517 -0.505668
0.968774 -0.556445
0.968774 -0.556445
1.000553 -0.497505
1.041369 -0.433365
1.090834 -0.356495
1.090834 -0.356495
1.104196 -0.321996
1.104196 -0.321996
1.146518 -0.343619
1.146518 -0.343619
1.186557 -0.364124
1.258373 -0.393813
1.258373 -0.393813
1.297635 -0.370781
1.428537 -0.270733
1.466729 -0.252560
1.503269 -0.233999
1.628778 -0.126079
1.660897 -0.097508
1.660897 -0.097508
1.676494 -0.108878
1.676494 -0.108878
1.698943 -0.094447
1.831012 -0.003486
1.831012 -0.003486
1.820468 0.009002
1.726688 0.109293
1.699915 0.121975
1.670906 0.131596
1.670906 0.131596
1.612792 0.291750
1.599770 0.326784
1.353902 0.290535
1.263670 0.275666
1.213476 0.262450
1.173389 0.250011
1.152398 0.242188
1.122855 0.274986
1.093798 0.274646
1.073438 0.277902
1.043847 0.286891
1.043847 0.286891
1.026451 0.310263
1.016976 0.327950
1.011242 0.366288
0.974800 0.366045
0.974800 0.366045
0.974897 0.381205
0.975577 0.397240
0.955412 0.410797
0.955412 0.410797
0.982817 0.503264
0.997783 0.551514
0.997783 0.551514
1.022224 0.615800
1.043652 0.651659
1.043652 0.651659
1.104925 0.698695
1.104925 0.698695
1.117413 0.709288
1.185148 0.762203
1.185148 0.762203
1.217072 0.780278
1.217072 0.780278
1.302105 0.829986
1.379024 0.873329
1.379024 0.873329
1.462696 0.912833
1.546320 0.949130
1.546320 0.949130
1.572171 0.958751
1.572171 0.958751
1.713666 1.004329
1.713666 1.004329
1.776007 1.025660
1.776007 1.025660
1.817941 1.040140
1.776007 1.025660
1.776007 1.025660
1.713666 1.004329
1.713666 1.004329
1.572171 0.958751
1.572171 0.958751
1.546320 0.949130
1.546320 0.949130
1.462696 0.912833
1.379024 0.873329
1.379024 0.873329
1.302105 0.829986
1.217072 0.780278
1.217072 0.780278
1.185148 0.762203
1.185148 0.762203
1.117413 0.709288
1.104925 0.698695
1.104925 0.698695
1.043652 0.651659
1.043652 0.651659
1.022224 0.615800
0.997783 0.551514
0.997783 0.551514
0.945159 0.564537
0.945159 0.564537
0.945014 0.550980
0.942827 0.531155
0.905072 0.432079
0.885636 0.387667
0.885636 0.387667
0.849388 0.392915
0.787921 0.397191
0.717951 0.402293
0.636805 0.408075
0.636805 0.408075
0.495795 0.386841
0.359013 0.396511
0.359013 0.396511
0.376165 0.372021
0.160667 0.310457
0.119948 0.366871
0.119948 0.366871
-0.135589 0.295880
